zip_code,boro,area_sq_m,population,total_restaurants,grade_a_count,pct_grade_a,avg_inspection_score
10307,0,4179217,14129,1,0,0.0,42.00
10112,Manhattan,24865,5,28,18,64.3,19.36
10040,Manhattan,1468523,40405,76,42,55.3,18.47
10280,Manhattan,276532,8993,24,15,62.5,18.21
11355,Queens,4446032,89465,206,108,52.4,17.91
11354,Queens,5572757,61276,492,271,55.1,17.62
10302,Staten Island,3090433,20931,72,45,62.5,17.36
11210,Brooklyn,4270311,62805,82,54,65.9,17.01
10305,0,10411102,44008,2,1,50.0,17.00
11233,Brooklyn,3493736,75399,85,55,64.7,16.76
11419,Queens,2917756,47430,108,62,57.4,16.69
10030,Manhattan,718112,29686,26,14,53.8,16.58
10306,0,18722812,57919,2,1,50.0,16.50
11372,Queens,1913029,68000,362,240,66.3,16.07
10454,Bronx,2745548,40232,81,52,64.2,16.01
11230,Brooklyn,4773124,91391,123,74,60.2,16.00
11224,Brooklyn,4017284,46019,96,61,63.5,15.97
10308,Staten Island,5660015,28198,52,33,63.5,15.94
11434,Queens,8405426,66964,88,56,63.6,15.89
10111,Manhattan,24769,6,7,5,71.4,15.86
10034,Manhattan,2648152,36778,109,74,67.9,15.76
10031,Manhattan,1733068,56363,129,83,64.3,15.72
11228,Brooklyn,3877759,45906,62,40,64.5,15.69
11229,Brooklyn,5199254,83669,135,87,64.4,15.64
10033,Manhattan,1544802,50085,126,81,64.3,15.63
11423,Queens,3645124,31985,38,26,68.4,15.53
11418,Queens,4298206,37596,83,60,72.3,15.46
10026,Manhattan,992725,35644,54,35,64.8,15.43
11379,Queens,5738388,37906,41,30,73.2,15.41
11235,Brooklyn,6363901,88482,168,114,67.9,15.38
10303,Staten Island,8208234,28155,38,18,47.4,15.37
10470,Bronx,3718691,16686,42,27,64.3,15.29
11373,Queens,3915486,105712,252,175,69.4,15.23
11432,Queens,5240658,65743,181,123,68.0,15.10
11435,Queens,3912570,58980,116,79,68.1,15.10
11223,Brooklyn,5361174,83519,180,122,67.8,15.09
11426,Queens,3555218,19343,34,23,67.6,15.03
11368,Queens,6821040,117110,266,175,65.8,15.02
10468,Bronx,2709578,78238,108,75,69.4,15.01
10069,Manhattan,106197,6671,2,1,50.0,15.00
11219,Brooklyn,3865336,103447,115,71,61.7,14.99
10310,Staten Island,4668227,26667,61,39,63.9,14.97
10037,Manhattan,602984,19670,23,13,56.5,14.96
10016,Manhattan,1423936,62336,410,277,67.6,14.95
10128,Manhattan,1173140,64249,160,102,63.8,14.87
10312,Staten Island,17797576,61642,79,49,62.0,14.87
11377,Queens,6557544,91512,210,143,68.1,14.86
11436,Queens,2065627,20620,28,17,60.7,14.82
11365,Queens,6439314,46908,60,43,71.7,14.80
11364,Queens,6498280,37032,59,36,61.0,14.78
11360,Queens,3563186,20039,26,19,73.1,14.77
11429,Queens,3420397,25895,30,25,83.3,14.77
11213,Brooklyn,2791686,67217,104,71,68.3,14.77
10039,Manhattan,774862,29239,19,18,94.7,14.74
11249,Brooklyn,1851085,42024,202,142,70.3,14.72
11378,Queens,6306169,38288,84,54,64.3,14.71
10301,Staten Island,9732406,41474,96,66,68.8,14.69
11411,Queens,3054399,19579,22,13,59.1,14.68
11203,Brooklyn,5539960,81824,125,92,73.6,14.66
10032,Manhattan,1742138,55170,121,90,74.4,14.65
11356,Queens,4096028,28310,63,48,76.2,14.62
11433,Queens,3964952,39071,28,15,53.6,14.61
10453,Bronx,2334210,81951,94,63,67.0,14.56
10314,Staten Island,33661749,92157,200,135,67.5,14.50
11226,Brooklyn,3373771,101727,225,153,68.0,14.49
11220,Brooklyn,4475329,105797,401,271,67.6,14.41
10472,Bronx,2790929,72245,104,75,72.1,14.41
10457,Bronx,3415414,77488,87,58,66.7,14.34
10306,Staten Island,18722812,57919,143,93,65.0,14.33
11237,Brooklyn,2580676,49418,268,179,66.8,14.32
11416,Queens,1708434,28381,48,33,68.8,14.21
11214,Brooklyn,5242819,96560,225,160,71.1,14.17
10075,Manhattan,489565,27796,99,63,63.6,14.07
11206,Brooklyn,3628550,91549,183,133,72.7,14.05
11358,Queens,5067751,40435,164,117,71.3,14.03
10002,Manhattan,2129728,82155,537,362,67.4,14.03
11234,Brooklyn,19124670,92133,167,117,70.1,14.02
10014,Manhattan,1255850,32590,434,313,72.1,13.97
10459,Bronx,2154070,50984,74,55,74.3,13.95
10461,Bronx,6185365,54901,153,115,75.2,13.94
11232,Brooklyn,3215315,30181,136,96,70.6,13.93
10003,Manhattan,1480445,57076,670,488,72.8,13.85
11427,Queens,4062875,24555,13,8,61.5,13.85
10025,Manhattan,2302133,95424,245,165,67.3,13.82
11211,Brooklyn,3768558,68540,419,295,70.4,13.81
11412,Queens,4260491,37958,47,35,74.5,13.81
11222,Brooklyn,3942933,41957,278,195,70.1,13.79
11208,Brooklyn,6931906,101958,108,79,73.1,13.78
10024,Manhattan,2292582,62250,211,152,72.0,13.78
11421,Queens,3327832,42586,79,59,74.7,13.75
11428,Queens,2154074,19516,34,21,61.8,13.74
11385,Queens,9363087,100883,315,226,71.7,13.73
10018,Manhattan,891039,11145,425,317,74.6,13.71
11212,Brooklyn,4002499,91574,115,90,78.3,13.70
11216,Brooklyn,2486719,61251,213,153,71.8,13.69
11367,Queens,4952610,43112,45,34,75.6,13.67
10466,Bronx,5218976,70420,85,62,72.9,13.60
11239,Brooklyn,4448124,17038,23,18,78.3,13.57
11362,Queens,5379030,18139,58,44,75.9,13.52
11375,Queens,6269573,72851,209,154,73.7,13.50
10475,Bronx,3218509,42609,70,51,72.9,13.49
10304,Staten Island,9041054,46944,50,29,58.0,13.48
10009,Manhattan,1597304,61716,313,225,71.9,13.46
11374,Queens,2445084,47129,89,59,66.3,13.40
10012,Manhattan,839030,23125,451,327,72.5,13.40
11420,Queens,5459080,47383,87,67,77.0,13.30
10469,Bronx,6282642,71571,90,63,70.0,13.30
10467,Bronx,6036068,103660,158,115,72.8,13.29
10013,Manhattan,1409917,31042,500,354,70.8,13.26
11204,Brooklyn,4129771,85885,129,86,66.7,13.24
10455,Bronx,1816370,43804,106,81,76.4,13.23
10307,Staten Island,4179217,14129,31,21,67.7,13.23
10029,Manhattan,2987117,78141,208,151,72.6,13.22
10451,Bronx,2735533,51536,167,125,74.9,13.20
11205,Brooklyn,3033777,50474,147,105,71.4,13.19
10474,Bronx,3973116,12013,31,24,77.4,13.19
10065,Manhattan,1085419,32891,168,125,74.4,13.17
10036,Manhattan,1158340,33868,603,447,74.1,13.13
10309,Staten Island,18787995,33523,81,58,71.6,13.09
10019,Manhattan,1706504,49029,625,471,75.4,13.09
10021,Manhattan,923484,45691,166,126,75.9,13.04
11413,Queens,7812635,42978,45,36,80.0,13.02
10279,Manhattan,10805,236,1,1,100.0,13.00
10010,Manhattan,955081,33991,241,178,73.9,12.98
11357,Queens,7341415,42319,67,58,86.6,12.97
10456,Bronx,2787861,93412,71,51,71.8,12.94
10011,Manhattan,1677161,53318,450,332,73.8,12.88
11361,Queens,4437987,29116,149,112,75.2,12.87
10022,Manhattan,1148424,36708,439,344,78.4,12.84
10023,Manhattan,2510429,71164,214,167,78.0,12.83
11221,Brooklyn,3576561,89222,154,118,76.6,12.81
10452,Bronx,2543928,77564,106,77,72.6,12.63
10458,Bronx,3162261,81299,212,149,70.3,12.60
10027,Manhattan,2440914,64037,160,118,73.8,12.57
11417,Queens,2883937,31229,67,50,74.6,12.51
10017,Manhattan,771547,17401,325,253,77.8,12.50
11218,Brooklyn,3527412,78642,137,99,72.3,12.49
10035,Manhattan,3638045,35980,87,68,78.2,12.47
10305,Staten Island,10411102,44008,91,58,63.7,12.46
11209,Brooklyn,5473452,73239,263,204,77.6,12.46
11231,Brooklyn,3690567,37240,168,129,76.8,12.45
10038,Manhattan,747572,25332,182,135,74.2,12.41
10463,Bronx,7129840,71301,124,95,76.6,12.34
10001,Manhattan,1615692,32612,621,484,77.9,12.32
11236,Brooklyn,9231367,100687,114,90,78.9,12.23
10465,Bronx,10153865,45799,85,69,81.2,12.22
10462,Bronx,3878508,84655,154,122,79.2,12.18
11414,Queens,5979139,27320,58,49,84.5,12.16
11238,Brooklyn,4789042,60090,251,188,74.9,12.16
11422,Queens,5436200,32839,39,29,74.4,12.13
10119,Manhattan,65943,154,26,20,76.9,12.04
10004,Manhattan,1179938,4287,130,101,77.7,12.02
10464,Bronx,7908514,4592,36,28,77.8,12.00
10152,Manhattan,12423,48,1,0,0.0,12.00
10309,0,18787995,33523,1,1,100.0,12.00
11363,Queens,2239195,7208,11,9,81.8,11.91
11215,Brooklyn,5668437,67493,359,283,78.8,11.91
11207,Brooklyn,7044635,100330,138,116,84.1,11.83
11370,Queens,3997507,34683,20,17,85.0,11.80
10005,Manhattan,188727,10639,60,42,70.0,11.78
10044,Manhattan,595879,11722,13,10,76.9,11.69
10282,Manhattan,177847,5847,15,10,66.7,11.67
10028,Manhattan,819923,48116,209,176,84.2,11.62
11225,Brooklyn,2265820,58786,156,122,78.2,11.55
11415,Queens,1450699,20241,37,32,86.5,11.49
11217,Brooklyn,1908694,42417,295,226,76.6,11.31
11201,Brooklyn,3506670,69703,462,372,80.5,11.17
10006,Manhattan,250630,4282,49,42,85.7,11.16
10473,Bronx,5537168,62692,29,24,82.8,11.14
10471,Bronx,4436899,25121,50,38,76.0,11.10
11366,Queens,3946393,14430,55,44,80.0,11.05
10168,Manhattan,13211,0,2,2,100.0,11.00
10169,Manhattan,5396,0,16,14,87.5,10.69
10460,Bronx,3881496,62625,60,54,90.0,10.57
10007,Manhattan,414129,8421,147,112,76.2,10.12
11369,Queens,2807334,40805,76,66,86.8,10.05
10177,Manhattan,5421,0,1,1,100.0,10.00
10304,0,9041054,46944,1,1,100.0,10.00
10171,Manhattan,12470,17,2,2,100.0,10.00
10172,Manhattan,12415,0,4,4,100.0,9.50
10103,Manhattan,24776,10,4,4,100.0,9.25
11430,Queens,18446520,571,111,103,92.8,9.06
10020,Manhattan,46754,0,46,40,87.0,8.76
10167,Manhattan,12396,0,4,4,100.0,8.50
10115,Manhattan,6618,0,1,1,100.0,8.00
11371,Queens,2837110,0,22,21,95.5,7.55
10271,Manhattan,6779,0,4,4,100.0,7.50
10075,0,489565,27796,1,1,100.0,7.00
11371,Manhattan,2837110,0,2,2,100.0,7.00
10312,0,17797576,61642,2,2,100.0,7.00
10165,Manhattan,13058,20,2,1,50.0,6.00
10154,Manhattan,12382,0,3,3,100.0,6.00
10153,Manhattan,12281,0,4,4,100.0,5.25
10173,Manhattan,12297,2,1,1,100.0,2.00
10301,0,9732406,41474,1,1,100.0,2.00
11451,,185278,1,,,,
10278,,35671,6,,,,
10199,,65414,71,,,,
10174,,13224,17,,,,
10170,,24921,40,,,,
10162,,33146,1814,,,,
11424,,49079,0,,,,
10110,,26711,14,,,,
10311,,121555,0,,,,
11359,,648383,0,,,,
11439,,385423,2376,,,,
